Feature set,Inputs,Val accuracy,Val macro F1,Val EF MAE,Within one EF,Val CE
All feature groups,49,0.5553416746871992,0.4480195394226801,0.49470644850818096,0.9534809111324992,0.9693606831878883
Without radar,23,0.5537375681745268,0.40008682135737644,0.5322425409047161,0.9239653512993262,0.9846753621192241
Without final track,44,0.4475457170356112,0.28897476677167583,0.751042669233237,0.8421559191530318,1.176627052591545
Without land cover,41,0.5409047160731473,0.41321970796753593,0.5162014757779917,0.9464228424767405,0.9746304463945409
Without track or land cover,36,0.4270131536734039,0.2844664918480484,0.791786974655117,0.824510747513635,1.214645018632047
