Run,Optimizer / LR,L2,Dropout,Train accuracy,Val accuracy,Accuracy gap (pp),Train loss,Val loss,Val macro F1
Baseline,Adam / 0.001,0.0,0.0,0.7720669441848611,0.5765158806544755,19.555106353038564,0.2803042531013489,2.530261516571045,0.445073640816538
GD-1,SGD / 0.1,0.0,0.0,0.5260385693653895,0.43920436316971445,8.683420619567507,1.4045504331588745,1.03031587600708,0.324311919548003
GD-2,SGD / 0.01,0.0,0.0,0.6831195310508877,0.5553416746871992,12.777785636368854,0.4695660173892975,1.1977438926696777,0.4480195394226801
GD-3,SGD / 0.001,0.0,0.0,0.6152408461473112,0.5319217196021816,8.331912654512962,0.8366435766220093,0.8933695554733276,0.3751748375265513
L2,Adam / 0.001,0.001,0.0,0.6900008495454931,0.5338466474173885,15.61542021281046,0.6136727929115295,1.5925638675689697,0.4281416252934746
Dropout-1,Adam / 0.001,0.0,0.2,0.6500722113669187,0.534809111324992,11.526310004192675,0.770268976688385,1.1779236793518066,0.43566319777577905
Dropout-2,Adam / 0.001,0.0,0.5,0.6104833913856087,0.5158806544754572,9.460273691015153,0.8371066451072693,0.8814520835876465,0.4295740218955567
Final (GD-2),SGD / 0.01,0.0,0.0,0.6831195310508877,0.5553416746871992,12.777785636368854,0.4695660173892975,1.1977438926696777,0.4480195394226801
