Run,Builds on,Members,Inputs,Val accuracy,Val macro F1,Val EF MAE,Within one EF,Val CE
GD-2,-,1,49,0.5643246711581649,0.46515346256385925,0.4847609881296118,0.9541225537375682,0.9497771962047834
Ordinal head,GD-2,1,49,0.4966313763233879,0.3151939501351426,0.5867821623355791,0.9191530317613089,1.0269722419135372
Threshold ladder,GD-2,1,49,0.548604427333975,0.4448494129628326,0.5142765479627848,0.9403272377285852,0.9941626152619016
Balanced-subset ensemble,GD-2,3,49,0.5595123516201476,0.45584018002601334,0.48893166506256014,0.9531600898299647,0.9620612487923015
Ladder subset ensemble,Threshold ladder,3,49,0.5380173243503369,0.4818464317167708,0.5030478023740776,0.9595765158806545,0.9867931273141489
Without radar,Ladder subset ensemble,3,23,0.5585498877125441,0.44961660148800825,0.480269489894129,0.9624639076034649,0.9667005299119312
Without final track,Ladder subset ensemble,3,44,0.4051973051010587,0.2984222203341444,0.766762913057427,0.8392685274302214,1.226912614989965
Without land cover,Ladder subset ensemble,3,41,0.534809111324992,0.44329991070485886,0.5052935514918191,0.9608598010907924,0.9911831761626321
Without track or land cover,Ladder subset ensemble,3,36,0.38819377606673083,0.2669618088574855,0.7914661533525826,0.8386268848251524,1.243878669361861
