rating,feature,missing_events,total_events,missing_percent
EF3,post_radar_max_vil_kg_m2,18,426,4.225352112676056
EF3,post_land_developed_fraction,0,426,0.0
EF3,post_land_forest_fraction,0,426,0.0
EF3,post_land_cropland_fraction,0,426,0.0
EF3,post_impervious_mean_percent,0,426,0.0
EF4,start_longitude,0,83,0.0
EF4,start_latitude,0,83,0.0
EF4,month,0,83,0.0
EF4,hour_utc,0,83,0.0
EF4,radar_tvs_count,0,83,0.0
EF4,radar_mda_count,0,83,0.0
EF4,radar_structure_count,0,83,0.0
EF4,radar_max_shear_per_s,40,83,48.19277108433735
EF4,radar_max_velocity_difference_knots,40,83,48.19277108433735
EF4,radar_max_rotation_velocity_knots,4,83,4.819277108433735
EF4,radar_max_reflectivity_dbz,3,83,3.6144578313253013
EF4,radar_max_vil_kg_m2,3,83,3.6144578313253013
EF4,warning_active_tornado_count,0,83,0.0
EF4,warning_active_severe_count,0,83,0.0
EF4,warning_tornado_lead_minutes,7,83,8.433734939759036
EF4,post_end_longitude,0,83,0.0
EF4,post_end_latitude,0,83,0.0
EF4,post_path_length_miles,0,83,0.0
EF4,post_path_width_yards,0,83,0.0
EF4,post_duration_minutes,0,83,0.0
EF4,post_radar_tvs_count,0,83,0.0
EF4,post_radar_mda_count,0,83,0.0
EF4,post_radar_structure_count,0,83,0.0
EF4,post_radar_max_shear_per_s,28,83,33.734939759036145
EF4,post_radar_max_velocity_difference_knots,28,83,33.734939759036145
EF4,post_radar_max_rotation_velocity_knots,2,83,2.4096385542168677
EF4,post_radar_max_reflectivity_dbz,2,83,2.4096385542168677
EF4,post_radar_max_vil_kg_m2,2,83,2.4096385542168677
EF4,post_land_developed_fraction,0,83,0.0
EF4,post_land_forest_fraction,0,83,0.0
EF4,post_land_cropland_fraction,0,83,0.0
EF4,post_impervious_mean_percent,0,83,0.0
EF5,start_longitude,0,8,0.0
EF5,start_latitude,0,8,0.0
EF5,month,0,8,0.0
EF5,hour_utc,0,8,0.0
EF5,radar_tvs_count,0,8,0.0
EF5,radar_mda_count,0,8,0.0
EF5,radar_structure_count,0,8,0.0
EF5,radar_max_shear_per_s,4,8,50.0
EF5,radar_max_velocity_difference_knots,4,8,50.0
EF5,radar_max_rotation_velocity_knots,0,8,0.0
EF5,radar_max_reflectivity_dbz,1,8,12.5
EF5,radar_max_vil_kg_m2,1,8,12.5
EF5,warning_active_tornado_count,0,8,0.0
EF5,warning_active_severe_count,0,8,0.0
EF5,warning_tornado_lead_minutes,0,8,0.0
EF5,post_end_longitude,0,8,0.0
EF5,post_end_latitude,0,8,0.0
EF5,post_path_length_miles,0,8,0.0
EF5,post_path_width_yards,0,8,0.0
EF5,post_duration_minutes,0,8,0.0
EF5,post_radar_tvs_count,0,8,0.0
EF5,post_radar_mda_count,0,8,0.0
EF5,post_radar_structure_count,0,8,0.0
EF5,post_radar_max_shear_per_s,2,8,25.0
EF5,post_radar_max_velocity_difference_knots,2,8,25.0
EF5,post_radar_max_rotation_velocity_knots,0,8,0.0
EF5,post_radar_max_reflectivity_dbz,1,8,12.5
EF5,post_radar_max_vil_kg_m2,1,8,12.5
EF5,post_land_developed_fraction,0,8,0.0
EF5,post_land_forest_fraction,0,8,0.0
EF5,post_land_cropland_fraction,0,8,0.0
EF5,post_impervious_mean_percent,0,8,0.0
Unknown,start_longitude,0,1525,0.0
Unknown,start_latitude,0,1525,0.0
Unknown,month,0,1525,0.0
Unknown,hour_utc,0,1525,0.0
Unknown,radar_tvs_count,0,1525,0.0
Unknown,radar_mda_count,0,1525,0.0
Unknown,radar_structure_count,0,1525,0.0
Unknown,radar_max_shear_per_s,1041,1525,68.26229508196721
Unknown,radar_max_velocity_difference_knots,1041,1525,68.26229508196721
Unknown,radar_max_rotation_velocity_knots,508,1525,33.31147540983606
Unknown,radar_max_reflectivity_dbz,135,1525,8.852459016393443
Unknown,radar_max_vil_kg_m2,135,1525,8.852459016393443
Unknown,warning_active_tornado_count,0,1525,0.0
Unknown,warning_active_severe_count,0,1525,0.0
Unknown,warning_tornado_lead_minutes,742,1525,48.65573770491803
Unknown,post_end_longitude,0,1525,0.0
Unknown,post_end_latitude,0,1525,0.0
Unknown,post_path_length_miles,0,1525,0.0
Unknown,post_path_width_yards,0,1525,0.0
Unknown,post_duration_minutes,0,1525,0.0
Unknown,post_radar_tvs_count,0,1525,0.0
Unknown,post_radar_mda_count,0,1525,0.0
Unknown,post_radar_structure_count,0,1525,0.0
Unknown,post_radar_max_shear_per_s,892,1525,58.49180327868852
Unknown,post_radar_max_velocity_difference_knots,892,1525,58.49180327868852
Unknown,post_radar_max_rotation_velocity_knots,385,1525,25.24590163934426
Unknown,post_radar_max_reflectivity_dbz,83,1525,5.442622950819672
Unknown,post_radar_max_vil_kg_m2,83,1525,5.442622950819672
Unknown,post_land_developed_fraction,64,1525,4.19672131147541
Unknown,post_land_forest_fraction,64,1525,4.19672131147541
Unknown,post_land_cropland_fraction,64,1525,4.19672131147541
Unknown,post_impervious_mean_percent,63,1525,4.131147540983607
