Rating,Events,Percent of all events
EF0,9197,45.61098988295973
EF1,7149,35.45427494544733
EF2,1776,8.807776234874034
EF3,426,2.112676056338028
EF4,83,0.4116246776433247
EF5,8,0.0396746677246578
Unknown,1525,7.562983535012894
