year,feature,missing_events,total_events,missing_percent
2019,month,0,1534,0.0
2019,hour_utc,0,1534,0.0
2019,radar_tvs_count,0,1534,0.0
2019,radar_mda_count,0,1534,0.0
2019,radar_structure_count,0,1534,0.0
2019,radar_max_shear_per_s,962,1534,62.71186440677966
2019,radar_max_velocity_difference_knots,962,1534,62.71186440677966
2019,radar_max_rotation_velocity_knots,338,1534,22.033898305084747
2019,radar_max_reflectivity_dbz,66,1534,4.302477183833116
2019,radar_max_vil_kg_m2,66,1534,4.302477183833116
2019,warning_active_tornado_count,0,1534,0.0
2019,warning_active_severe_count,0,1534,0.0
2019,warning_tornado_lead_minutes,667,1534,43.48109517601043
2020,start_longitude,0,1090,0.0
2020,start_latitude,0,1090,0.0
2020,month,0,1090,0.0
2020,hour_utc,0,1090,0.0
2020,radar_tvs_count,0,1090,0.0
2020,radar_mda_count,0,1090,0.0
2020,radar_structure_count,0,1090,0.0
2020,radar_max_shear_per_s,732,1090,67.1559633027523
2020,radar_max_velocity_difference_knots,732,1090,67.1559633027523
2020,radar_max_rotation_velocity_knots,292,1090,26.788990825688074
2020,radar_max_reflectivity_dbz,93,1090,8.53211009174312
2020,radar_max_vil_kg_m2,93,1090,8.53211009174312
2020,warning_active_tornado_count,0,1090,0.0
2020,warning_active_severe_count,0,1090,0.0
2020,warning_tornado_lead_minutes,523,1090,47.981651376146786
2021,start_longitude,0,1328,0.0
2021,start_latitude,0,1328,0.0
2021,month,0,1328,0.0
2021,hour_utc,0,1328,0.0
2021,radar_tvs_count,0,1328,0.0
2021,radar_mda_count,0,1328,0.0
2021,radar_structure_count,0,1328,0.0
2021,radar_max_shear_per_s,870,1328,65.51204819277109
2021,radar_max_velocity_difference_knots,870,1328,65.51204819277109
2021,radar_max_rotation_velocity_knots,354,1328,26.656626506024097
2021,radar_max_reflectivity_dbz,64,1328,4.819277108433735
2021,radar_max_vil_kg_m2,64,1328,4.819277108433735
2021,warning_active_tornado_count,0,1328,0.0
2021,warning_active_severe_count,0,1328,0.0
2021,warning_tornado_lead_minutes,580,1328,43.674698795180724
2022,start_longitude,0,1167,0.0
2022,start_latitude,0,1167,0.0
2022,month,0,1167,0.0
2022,hour_utc,0,1167,0.0
