epoch,loss,val_loss,member,run,stage
1,1.581873893737793,0.9900153875350952,0,Weighted softmax,Strategy
2,1.1699364185333252,0.9663441777229309,0,Weighted softmax,Strategy
3,1.0083675384521484,1.1126255989074707,0,Weighted softmax,Strategy
4,0.9149817228317261,0.9672222137451172,0,Weighted softmax,Strategy
5,0.8124601244926453,0.9341211915016174,0,Weighted softmax,Strategy
6,0.8084033131599426,0.9677804708480835,0,Weighted softmax,Strategy
7,0.8385705947875977,0.9631637334823608,0,Weighted softmax,Strategy
8,0.735141932964325,1.0119881629943848,0,Weighted softmax,Strategy
9,0.7006889581680298,0.9642883539199829,0,Weighted softmax,Strategy
10,0.6517907977104187,1.0591542720794678,0,Weighted softmax,Strategy
11,0.645771861076355,0.9962438941001892,0,Weighted softmax,Strategy
12,0.6179890632629395,0.9306513667106628,0,Weighted softmax,Strategy
13,0.6066139340400696,0.9965397715568542,0,Weighted softmax,Strategy
14,0.6010822653770447,0.9418256282806396,0,Weighted softmax,Strategy
15,0.5690959095954895,1.0220025777816772,0,Weighted softmax,Strategy
16,0.5642369389533997,0.9740215539932251,0,Weighted softmax,Strategy
17,0.5366744995117188,0.9564716219902039,0,Weighted softmax,Strategy
18,0.5483776330947876,0.9467673301696777,0,Weighted softmax,Strategy
19,0.5241298079490662,1.0659440755844116,0,Weighted softmax,Strategy
20,0.4998631775379181,0.9532100558280945,0,Weighted softmax,Strategy
21,0.5021566152572632,1.0619574785232544,0,Weighted softmax,Strategy
22,0.4744877517223358,1.006706714630127,0,Weighted softmax,Strategy
23,0.46835410594940186,0.9925711154937744,0,Weighted softmax,Strategy
24,0.4579192101955414,1.0044695138931274,0,Weighted softmax,Strategy
25,0.4368455111980438,1.0208104848861694,0,Weighted softmax,Strategy
26,0.5720367431640625,1.0157655477523804,0,Weighted softmax,Strategy
27,0.4884515702724457,0.9716354608535767,0,Weighted softmax,Strategy
28,0.4396056830883026,1.012895941734314,0,Weighted softmax,Strategy
29,0.44537079334259033,1.032515048980713,0,Weighted softmax,Strategy
30,0.4247848093509674,1.0642403364181519,0,Weighted softmax,Strategy
31,0.39661508798599243,1.0310003757476807,0,Weighted softmax,Strategy
32,0.38207441568374634,1.0530263185501099,0,Weighted softmax,Strategy
33,0.3754327595233917,1.1254040002822876,0,Weighted softmax,Strategy
34,0.371914267539978,1.0773372650146484,0,Weighted softmax,Strategy
35,0.37187838554382324,1.0481853485107422,0,Weighted softmax,Strategy
36,0.35863035917282104,1.105380892753601,0,Weighted softmax,Strategy
37,0.34786829352378845,1.052988886833191,0,Weighted softmax,Strategy
38,0.35021674633026123,1.1310958862304688,0,Weighted softmax,Strategy
39,0.3456565737724304,1.1989431381225586,0,Weighted softmax,Strategy
40,0.44398969411849976,1.0896022319793701,0,Weighted softmax,Strategy
41,0.4666461944580078,1.1444666385650635,0,Weighted softmax,Strategy
42,0.44967934489250183,1.1489195823669434,0,Weighted softmax,Strategy
43,0.3425252139568329,1.2280632257461548,0,Weighted softmax,Strategy
44,0.32558220624923706,1.1971324682235718,0,Weighted softmax,Strategy
45,0.31627213954925537,1.0976580381393433,0,Weighted softmax,Strategy
46,0.3170650005340576,1.138448715209961,0,Weighted softmax,Strategy
47,0.3096267282962799,1.106540560722351,0,Weighted softmax,Strategy
48,0.29747408628463745,1.1371437311172485,0,Weighted softmax,Strategy
49,0.29545164108276367,1.174455165863037,0,Weighted softmax,Strategy
50,0.2909837067127228,1.1919856071472168,0,Weighted softmax,Strategy
1,0.23208799958229065,0.22483479976654053,0,Single ordinal,Strategy
2,0.21326443552970886,0.2123829573392868,0,Single ordinal,Strategy
3,0.2022058367729187,0.20646721124649048,0,Single ordinal,Strategy
4,0.19200675189495087,0.1994442492723465,0,Single ordinal,Strategy
