Run,Optimizer / LR,L2,Dropout,Train accuracy,Val accuracy,Train loss,Val loss,Train macro F1,Val macro F1
Baseline,Adam / 0.001,0.0,0.0,0.7488007309830199,0.5739825028527957,0.08633789171775182,0.29758960008621216,0.7656490118708197,0.3188591389191143
SGD-1,SGD / 0.1,0.0,0.0,0.6593314551130739,0.5827310764549258,0.14949039618174234,0.21712968746821085,0.42474037397331527,0.31449182272881043
SGD-2,SGD / 0.01,0.0,0.0,0.5368156552196757,0.5443134271586154,0.25413308540980023,0.21486259996891022,0.2258913887902524,0.20191540491119
SGD-3,SGD / 0.001,0.0,0.0,0.4873981573136374,0.503233168505135,0.33276482423146564,0.27941365043322247,0.13597840755735494,0.11167384147885541
L2,Adam / 0.001,0.001,0.0,0.6630625142770121,0.602890833016356,0.18546725312868753,0.2205601433912913,0.3904940096448182,0.3245379277188662
Dropout-1,Adam / 0.001,0.0,0.2,0.688570775908018,0.603651578546976,0.1639294425646464,0.20330180724461874,0.4090402154112062,0.32370438328783574
Dropout-2,Adam / 0.001,0.0,0.5,0.6711337851214498,0.6287561810574362,0.19631534814834595,0.18710350493590036,0.3147485199504491,0.29791125605950436
