Feature view,Inputs,Val accuracy,Val macro F1,Val EF MAE,Within one EF,Val CE
Full retrospective,49,0.602890833016356,0.3245379277188662,0.4340053252187143,0.9638645872955497,0.878453999274759
Without radar,23,0.604031951312286,0.3368891797965308,0.4343856979840243,0.9619627234689996,0.8760488301021315
Without final track,44,0.4693799923925447,0.228835563698129,0.6603271205781666,0.8744769874476988,1.1294078063309099
Without land cover,41,0.5964244960060859,0.3271086445895009,0.44047166222898443,0.9634842145302396,0.8798450292016086
Without track or land cover,36,0.4591099277291746,0.21979104146389553,0.6626093571700267,0.8824648155192089,1.1289284387368712
Onset,23,0.4492202358311145,0.20551729364504126,0.6880943324457969,0.8672499049068086,1.146808702830714
