epoch,loss,val_loss,train_accuracy,train_cross_entropy,train_macro_f1,train_ef_mae,train_within_one,validation_accuracy,validation_cross_entropy,validation_macro_f1,validation_ef_mae,validation_within_one,run,stage,formulation,members,sampling,weighting,optimizer,learning_rate,l2,dropout
16,0.5642369389533997,0.9740215539932251,0.6428081931013477,0.7962270395819048,0.6055166014198018,0.41445214345541764,0.9486789004797076,0.5697984024343857,0.9740208551593151,0.33010613423960605,0.5096995055154051,0.9288702928870293,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
17,0.5366744995117188,0.9564716219902039,0.6606259042107667,0.7567664966807418,0.600423263203793,0.3939693900860428,0.9521053833853651,0.5987067325979459,0.9564741858020744,0.3119639163568893,0.4811715481171548,0.9300114111829593,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
18,0.5483776330947876,0.9467673301696777,0.6540013705931622,0.7479653957010453,0.7018208084829934,0.3861265514353156,0.9617756795857763,0.5785469760365158,0.9467690488457925,0.32003320896962034,0.4903004944845949,0.9345758843666794,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
19,0.5241298079490662,1.0659440755844116,0.6116652706921496,0.846320430055753,0.6394658258516526,0.4669915480088327,0.9275108505292012,0.5488779003423355,1.0659452400462177,0.2774174370391627,0.5728413845568657,0.891213389121339,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
20,0.4998631775379181,0.9532100558280945,0.6589507347902231,0.738100425742086,0.6894177880795551,0.37508566207264143,0.9677910606868194,0.5758843666793457,0.9532066522836878,0.3418634044810152,0.48231266641308485,0.9448459490300495,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
21,0.5021566152572632,1.0619574785232544,0.6057260336556766,0.8342964612852601,0.6897945155987149,0.45206731135308004,0.9437295362826468,0.5233929250665652,1.0619588685828918,0.2814754841987922,0.5686572841384557,0.9117535184480792,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
22,0.4744877517223358,1.006706714630127,0.6403715830351024,0.766585275613018,0.6874227122988579,0.40737074545039215,0.9546181375161806,0.5602890833016356,1.0067103797589534,0.32243517496726576,0.5230125523012552,0.9208824648155192,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
23,0.46835410594940186,0.9925711154937744,0.6664889971826696,0.723874016222283,0.6957740995733873,0.3790451534302901,0.9592629254549608,0.5895777862305059,0.9925734688403527,0.29033914683894674,0.49410422213769495,0.9262076835298593,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
24,0.4579192101955414,1.0044695138931274,0.6562095484656971,0.7357264796920644,0.7029174651505397,0.38841087337242064,0.9573593238407067,0.5667554203119056,1.0044686247031702,0.30903807730218247,0.5108406238113351,0.9269684290604793,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
25,0.4368455111980438,1.0208104848861694,0.6753978527373791,0.7226317575552351,0.7240598555928962,0.36800426406761594,0.9624609761669078,0.5834918219855458,1.0208080032675975,0.32076274862573745,0.4880182578927349,0.9364777481932294,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
26,0.5720367431640625,1.0157655477523804,0.6568948450468286,0.7649619833275065,0.581587278642027,0.4051625675778573,0.9470798751237341,0.5762647394446557,1.0157660261168036,0.3144350107047537,0.5112209965766451,0.9231647014073793,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
27,0.4884515702724457,0.9716354608535767,0.6889514962308688,0.686676831241325,0.6840155540453711,0.34691235818167976,0.9675626284931089,0.5979459870673259,0.9716381334696168,0.31954453805761746,0.4709014834537847,0.9391403575503994,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
28,0.4396056830883026,1.012895941734314,0.6797380644178787,0.7034115086588639,0.6277603471968756,0.35437447650955606,0.9700753826239245,0.5838721947508558,1.0128977564935138,0.31790543608679744,0.4800304298212248,0.9437048307341195,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
29,0.44537079334259033,1.032515048980713,0.6744841239625371,0.717652410844462,0.6881640480176018,0.3676235437447651,0.9623848321023376,0.5697984024343857,1.0325128195089932,0.3348853517196195,0.500570559147965,0.9360973754279194,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
30,0.4247848093509674,1.0642403364181519,0.640143150841392,0.7584139807842283,0.7106655233612019,0.41072108429147947,0.9511155105459529,0.5446937999239254,1.0642417540712175,0.3046602078776288,0.5500190186382655,0.9121338912133892,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
31,0.39661508798599243,1.0310003757476807,0.6750932764790984,0.700028624135777,0.7537743207576155,0.3596284169648976,0.9669534759765477,0.5675161658425256,1.0309981945216111,0.31288422764870477,0.5077976416888551,0.9300114111829593,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
32,0.38207441568374634,1.0530263185501099,0.6809563694510012,0.6964112145095895,0.7493728672161758,0.3495012563770654,0.972131272367319,0.5667554203119056,1.053029901401489,0.31680884140752186,0.49410422213769495,0.9433244579688095,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
33,0.3754327595233917,1.1254040002822876,0.6558288281428463,0.7392788377076753,0.7439397924059074,0.3906951953095256,0.9553795781618822,0.5386078356789654,1.1254053158138309,0.30238022171772266,0.5530620007607455,0.9140357550399392,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
34,0.371914267539978,1.0773372650146484,0.6752455646082388,0.6954483636475135,0.7536916422560161,0.3650346455493794,0.962080255844057,0.5637124381894256,1.0773354856587034,0.30161908943487187,0.5230125523012552,0.9201217192848992,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
35,0.37187838554382324,1.0481853485107422,0.7053224701134546,0.6435089099984053,0.7950006852136545,0.32163252874438436,0.9745678824335643,0.5895777862305059,1.0481839493244993,0.3219766831602122,0.47280334728033474,0.9421833396728794,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
36,0.35863035917282104,1.105380892753601,0.6847635726795096,0.6799671285204727,0.785518856319349,0.3485875276022234,0.9674103403639687,0.5606694560669456,1.1053806966794144,0.30502035291680096,0.5104602510460251,0.9315329022441993,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
37,0.34786829352378845,1.052988886833191,0.7161349272824183,0.6268804637912302,0.8051132309396696,0.30655600395949134,0.9782227975329323,0.5819703309243058,1.0529913411195233,0.31259401908254253,0.4785089387599848,0.9440852034994295,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
38,0.35021674633026123,1.1310958862304688,0.6895606487474302,0.6697931794808124,0.772329139942873,0.3426482905657504,0.9703799588822052,0.5713198934956257,1.131093753558073,0.30948098070385327,0.5077976416888551,0.9296310384176493,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
39,0.3456565737724304,1.1989431381225586,0.6929871316530877,0.7084857825343575,0.7249386303985249,0.34691235818167976,0.9645168659103023,0.5694180296690757,1.1989425660287263,0.3228763524349019,0.5135032331685051,0.9258273107645493,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
40,0.44398969411849976,1.0896022319793701,0.6939008604279296,0.661086286062103,0.6793533087221425,0.34066854488692605,0.9683240691388106,0.5930011411182959,1.0896035752004405,0.31589015373634105,0.48687713959680484,0.9277291745910993,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
41,0.4666461944580078,1.1444666385650635,0.6714383613797305,0.7140826276368375,0.7119819729257243,0.3717353232315541,0.9596436457778116,0.5481171548117155,1.1444669451065541,0.30837948509826507,0.5317611259033853,0.9265880562951693,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
42,0.44967934489250183,1.1489195823669434,0.6975557755272976,0.6814223756151184,0.7016174468477402,0.3467600700525394,0.9614711033274956,0.5720806390262457,1.148920204241463,0.32398504549187707,0.5157854697603652,0.9235450741726893,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
43,0.3425252139568329,1.2280632257461548,0.6482905657503998,0.7613862368210936,0.7706585372817177,0.3996040508642351,0.9533998324830579,0.5241536705971852,1.2280631532968045,0.27906809555420103,0.5595283377710156,0.9193609737542792,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
44,0.32558220624923706,1.1971324682235718,0.6845351404857991,0.6932257499821486,0.769429317386443,0.3619127389020026,0.9570547475824259,0.5564853556485355,1.197132197183072,0.2802317445623001,0.5351844807911753,0.9170787371624192,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
45,0.31627213954925537,1.0976580381393433,0.7216934439960405,0.5980901518486592,0.8237317417903546,0.29939846188989566,0.9792126703723445,0.5910992772917459,1.0976582563076178,0.2952199605915445,0.4773678204640548,0.9345758843666794,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
46,0.3170650005340576,1.138448715209961,0.7217695880606106,0.6053533369233502,0.8162219980862556,0.30130206350414984,0.9773852128226604,0.5838721947508558,1.138448930645135,0.3120652615683928,0.4792696842906048,0.9410422213769494,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
47,0.3096267282962799,1.106540560722351,0.7353232315541004,0.5834000699375247,0.830483285597342,0.283560496459301,0.9824868651488616,0.5910992772917459,1.106540562618098,0.29629593701950835,0.46443514644351463,0.9494104222137695,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
48,0.29747408628463745,1.1371437311172485,0.7293839945176274,0.5852407114492482,0.83854075508725,0.289499733495774,0.9815731363740197,0.5907189045264359,1.137146017727094,0.30519223006747453,0.46443514644351463,0.9471281856219095,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
49,0.29545164108276367,1.174455165863037,0.7221503083834615,0.6028762088613006,0.818760650575503,0.3019112160207112,0.9765476281123886,0.5796880943324458,1.1744524538665078,0.2937478836355055,0.4880182578927349,0.9360973754279194,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
50,0.2909837067127228,1.1919856071472168,0.7218457321251809,0.6084566651367281,0.8246265728107597,0.305033122668088,0.9738825858524328,0.5747432483834157,1.1919861494980077,0.2955612694345275,0.497907949790795,0.9319132750095093,Weighted softmax,Strategy,softmax,1,full,balanced,Adam,0.001,0.0,0.0
1,0.23208799958229065,0.22483479976654053,0.48953019112160207,1.1386745395999833,0.1460267469309801,0.6505748876875047,0.8822812761745222,0.505135032331685,1.1380169400185873,0.12672693159733014,0.6394066184861164,0.8767592240395587,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
2,0.21326443552970886,0.2123829573392868,0.5004949364197061,1.0280353496250973,0.19574176939169452,0.6103708215944567,0.9012411482524937,0.5165462152909852,1.0358959903224882,0.18087347570282475,0.605173069608216,0.891593761886649,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
3,0.2022058367729187,0.20646721124649048,0.5142770121069062,0.9616489053131198,0.2400534442053266,0.5750399756338993,0.9182974187162111,0.5279573982502853,0.9842864883691548,0.216266527168493,0.5758843666793457,0.9060479269684291,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
4,0.19200675189495087,0.1994442492723465,0.5365872230259652,0.910233284950594,0.284190139612069,0.5267646386964137,0.9398461889895683,0.5450741726892354,0.9450116884022054,0.23127058564661027,0.5378470901483454,0.9227843286420693,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
5,0.18345987796783447,0.19349685311317444,0.5563085357496383,0.8718160486395194,0.3266200869425509,0.49531714002893473,0.9509632224168126,0.5602890833016356,0.9218853444449252,0.25589443856473876,0.5119817421072651,0.9311525294788893,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
6,0.17570622265338898,0.18882934749126434,0.5828828142846265,0.8325089520033614,0.2981049701742735,0.4559506586461585,0.9626894083606183,0.5857740585774058,0.8909799231718081,0.27608764094411886,0.47356409281095474,0.9437048307341195,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
7,0.16905833780765533,0.1862286776304245,0.5816645092515038,0.8088869032742967,0.28217802146205134,0.458006548389553,0.9619279677149166,0.5815899581589958,0.8808115219199808,0.25784621313516765,0.4811715481171548,0.9414225941422594,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
8,0.16272838413715363,0.18329064548015594,0.6543820909160131,0.7654302854364279,0.43665251081508893,0.3654153658722303,0.9802786872763268,0.6150627615062761,0.8571663413281537,0.3075844322616207,0.4241156333206542,0.9623430962343096,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
9,0.1574590504169464,0.1815422624349594,0.6674788700220817,0.7403875864782208,0.48515881569367725,0.3502626970227671,0.982639153278002,0.6321795359452264,0.8485431695969594,0.34613034855530417,0.40623811335108406,0.9631038417649296,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
10,0.15305140614509583,0.17957265675067902,0.700906114368385,0.7141155592093369,0.49246980299119275,0.3119622325439732,0.9872839412167822,0.6306580448839864,0.8353771655006866,0.3585073755780596,0.400912894636744,0.9688094332445797,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
11,0.1487109512090683,0.18131661415100098,0.7023528515952181,0.6955399495561855,0.47099340373056836,0.30998248686514884,0.9877408056042032,0.6314187904146064,0.8437058472643161,0.3194532531072218,0.403195131228604,0.9669075694180297,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
12,0.14458321034908295,0.17812694609165192,0.7152973425721465,0.6716991591550734,0.49921071289963526,0.2956674027259575,0.9891113987664661,0.6295169265880562,0.8279957929367429,0.359130153333763,0.401293267402054,0.9703309243058197,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
13,0.1408337950706482,0.18397453427314758,0.7335719180689865,0.6590043446534325,0.539313799334863,0.27335719180689866,0.993147034188685,0.6238113351084063,0.8464098359242104,0.3433627824755206,0.40547736782046406,0.9722327881323697,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
14,0.1371634155511856,0.17905095219612122,0.7488007309830199,0.6380544954918362,0.5300915840256187,0.2574430823117338,0.9937561867052463,0.6344617725370864,0.8256914304686755,0.35421734123637477,0.39482693039178396,0.9718524153670597,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
15,0.13288432359695435,0.1819233000278473,0.7406533160740121,0.6212440165750365,0.527658795624015,0.2658189294144521,0.993603898576106,0.6302776721186764,0.841770101600391,0.31693790876982625,0.400152149106124,0.9707112970711297,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
16,0.1300588697195053,0.1824149340391159,0.7500951800807127,0.6026985706699922,0.4959224337347976,0.2551587603746288,0.9947460595446584,0.6352225180677064,0.8436328647348385,0.31139183143186006,0.3929250665652339,0.9729935336629897,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
17,0.12660281360149384,0.1918782889842987,0.7474301378207568,0.5953532428150788,0.5545341466282284,0.2587375314094266,0.9938323307698165,0.6226702168124763,0.8833841925427474,0.3291668496308824,0.4111829593001141,0.9672879421833397,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
18,0.12394513934850693,0.18739502131938934,0.7509327647909846,0.5864503466764013,0.42865559987558927,0.25614863321404097,0.9929186019949745,0.6158235070368961,0.8652381310582994,0.28143678120605037,0.41917078737162417,0.9657664511220997,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
19,0.12083332240581512,0.19085155427455902,0.7707302215792279,0.5608230783049908,0.574880888489337,0.23322926977842076,0.9960405086423513,0.6272346899961962,0.876070721814821,0.3281642235100019,0.40433624952453406,0.9699505515405097,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
20,0.11750328540802002,0.1915431171655655,0.7778877636488236,0.5577261072259967,0.5123700776305007,0.2258432955151146,0.9962689408360619,0.6181057436287561,0.8819773939413951,0.28881940734773404,0.4127044503613541,0.9695701787751997,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
21,0.11485578119754791,0.19658097624778748,0.7882433564303662,0.5387537560681835,0.5887455461976744,0.21419325363587907,0.9975633899337547,0.6211487257512363,0.900178154842474,0.3004896571608066,0.4096614682388741,0.9699505515405097,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
22,0.1119343563914299,0.19648979604244232,0.8013401355364349,0.513126487571084,0.6105084996834664,0.20102033046524023,0.9976395339983248,0.6177253708634461,0.9047801460174066,0.28869844913726106,0.4104222137694941,0.9729935336629897,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
23,0.10954533517360687,0.20834684371948242,0.7819995431356126,0.5271418761750245,0.5307645657938269,0.22157922789918527,0.9964212289652021,0.6249524534043363,0.9550430991995483,0.29247010862173545,0.4127044503613541,0.9646253328261697,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
24,0.1067294031381607,0.21103952825069427,0.8055280590877941,0.4998669036765001,0.5902793004846508,0.19728927130130205,0.9971826696109038,0.6177253708634461,0.9586500021735759,0.3519115594745034,0.41802966907569417,0.9653860783567897,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
25,0.10525772720575333,0.21002015471458435,0.8111627198659864,0.47748100364404555,0.5892697036529985,0.19081702581283788,0.9980202543211757,0.6177253708634461,0.960631422797783,0.3274964720495352,0.41650817801445417,0.9669075694180297,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
26,0.10118081420660019,0.21616105735301971,0.8148937790299247,0.47205912252792614,0.6379431126342258,0.1868575344551892,0.9982486865148862,0.6158235070368961,0.9828091966805914,0.3458028671279391,0.4218333967287942,0.9638645872955497,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
27,0.09925582259893417,0.22458212077617645,0.8134470418030915,0.46188575245675945,0.6259272113108535,0.18860884794030305,0.9979441102566055,0.6097375427919361,1.0235202502398797,0.2825504549682349,0.42829973373906427,0.9631038417649296,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
28,0.09782958030700684,0.21797098219394684,0.8327876342039138,0.44889040711030187,0.6423081819875541,0.1681260945709282,0.999086271225158,0.6097375427919361,0.9917601375338384,0.3248700316787542,0.42639786991251427,0.9653860783567897,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
29,0.09478320926427841,0.22440244257450104,0.8396406000152288,0.42974231327573237,0.6770007293143522,0.1612731287596132,0.999086271225158,0.604792696842906,1.0191736350180205,0.34098465765931624,0.4313427158615443,0.9661468238874097,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
30,0.09402473270893097,0.2386920303106308,0.8142846265133633,0.44321796979523864,0.6346446681277518,0.1871621107134699,0.9985532627731668,0.6143020159756561,1.0846923486547,0.3125750833267265,0.4241156333206542,0.9631038417649296,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
31,0.09023238718509674,0.2358705997467041,0.8432193710500266,0.41445389641793556,0.6843647117336333,0.15799893398309603,0.9987816949668773,0.6101179155572461,1.073418421217677,0.3090547656338026,0.42639786991251427,0.9650057055914797,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
32,0.08756193518638611,0.2499302327632904,0.8426863625980355,0.4123878297432125,0.6817346936649278,0.15792278991852585,0.9993908474834386,0.604031951312286,1.1284084962484286,0.29752915784190054,0.4347660707493343,0.9631038417649296,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
33,0.0851585865020752,0.25136688351631165,0.8624838193862788,0.38093314625762337,0.6800037167637139,0.13827762125942283,0.9992385593542983,0.5987067325979459,1.1380714916942367,0.2817483496038382,0.4423735260555344,0.9604412324077596,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
34,0.08323057740926743,0.2535592019557953,0.857077590801797,0.3803452820576067,0.6414986592617243,0.14353156171476433,0.9993908474834386,0.606694560669456,1.1477121378445798,0.3028138335555346,0.4332445796880943,0.9608216051730696,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
35,0.08195982128381729,0.2521439492702484,0.8647681413233839,0.3742601536534745,0.6963460708474626,0.13584101119317749,0.9993908474834386,0.605553442373526,1.1413298858537768,0.28932589107704726,0.4313427158615443,0.9646253328261697,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
36,0.0809612050652504,0.2578152120113373,0.8542602604127009,0.3781717323041453,0.6431060561865114,0.146577324297571,0.9991624152897282,0.607074933434766,1.1661651998346383,0.28303450513512357,0.4309623430962343,0.9634842145302396,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
37,0.07814215123653412,0.26299014687538147,0.8586766161577705,0.37266710182738993,0.7047887044910208,0.14193253635879083,0.9993908474834386,0.599847850893876,1.189984750853543,0.3041060338722383,0.4423735260555344,0.9596804868771396,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
38,0.07694824039936066,0.2720853090286255,0.8784740729460139,0.3438701864919428,0.6963033961838149,0.12213507957054748,0.9994669915480089,0.6120197793837961,1.2242224105615302,0.31554065311680196,0.4302015975656143,0.9600608596424496,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
39,0.07464134693145752,0.2735802233219147,0.8834234371430747,0.34081519471452637,0.7308186609671438,0.11688113911520596,0.9996954237417194,0.5975656143020159,1.2300358516238221,0.3103195268436543,0.4454165081780145,0.9593001141118296,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
40,0.0735282450914383,0.28242695331573486,0.8789309373334349,0.3317574872879512,0.7151384375692147,0.12129749486027565,0.9997715678062895,0.599847850893876,1.2713127103008595,0.31017216279422427,0.4473183720045645,0.9554963864587296,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
41,0.07082481682300568,0.28607383370399475,0.887687504759004,0.32147593990664114,0.65311998422386,0.11299779182212746,0.9993147034188685,0.608596424496006,1.2846788033369734,0.2832752452332616,0.4347660707493343,0.9577786230505896,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
42,0.06929323077201843,0.2921909987926483,0.884489454047057,0.3200932086833255,0.7177356334490508,0.11604355440493413,0.9994669915480089,0.5949030049448459,1.3164787018806403,0.30236207944720356,0.45150247242297453,0.9554963864587296,Single ordinal,Strategy,ordinal,1,full,none,Adam,0.001,0.0,0.0
